,smiles,Formula,FW,DSSTox_CID,SR-HSE,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD
10161,Nc1ccc(S(=O)(=O)[O-])cc1.[Na+],C6H6NNaO3S,195.1715 (172.1823+22.9892),9184,0,0,0,0,0,0,0,1,0,0,0,0
10162,O.O.O=c1nc([O-])n(Cl)c(=O)n1Cl.[Na+],C3H4Cl2N3NaO5,255.9767 (18.0153+18.0153+196.9569+22.9892),9761,0,0,0,0,0,0,0,0,0,0,0,0
10163,Cc1ccc(S(=O)(=O)[N-]Cl)cc1.O.O.O.[Na+],C7H13ClNNaO5S,281.6896 (204.6545+22.9892+18.0153+18.0153+18.0153),20795,0,0,0,0,0,0,0,0,0,0,0,0
10164,O.O=C1[N-]S(=O)(=O)c2ccccc21.[Na+],C7H6NNaO4S,223.1816 (182.1771+22.9892+18.0153),1992,0,0,0,0,0,0,0,1,0,0,0,0
10165,O=C([O-])c1cccc([N+](=O)[O-])c1.[Na+],C7H4NNaO4,189.1007 (166.1115+22.9892),24733,0,0,0,0,0,0,0,0,0,0,0,0
10166,O=[N+]([O-])c1ccccc1[O-].[Na+],C6H4NNaO3,161.0906 (138.1014+22.9892),15616,0,0,0,0,0,0,0,0,0,0,0,0
10167,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I.[Na+],C11H8I3N2NaO4,635.8954 (612.9062+22.9892),2912,0,0,0,0,0,0,0,1,0,0,0,0
10168,CCCCCCCCCCCC(=O)N(C)CC(=O)[O-].[Na+],C15H28NNaO3,293.3775 (270.3883+22.9892),7066,0,0,0,0,0,0,0,0,0,0,0,0
10169,O=C(CC(C(=O)OC1CCCCC1)S(=O)(=O)[O-])OC1CCCCC1.[Na+],C16H25NaO7S,384.4203 (361.4310+22.9892),7826,0,0,0,0,0,0,0,0,0,0,0,0
10170,CCOC(=O)CC([O-])C(=O)OCC.[Na+],C8H13NaO5,212.1756 (22.9892+189.1864),8010,0,0,0,0,0,0,0,0,0,0,0,0
10171,O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)[O-])c1.[Na+],C8H5NaO7S,268.1759 (245.1866+22.9892),9279,0,0,0,0,0,0,0,0,0,0,0,0
10172,CC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],C9H11NaO3S,222.2366 (22.9892+199.2474),27523,0,0,0,0,0,0,0,0,0,0,0,0
10173,CCCCC(CC)COS(=O)(=O)[O-].[Na+],C8H17NaO4S,232.2729 (209.2837+22.9892),6033,0,0,0,0,0,0,0,0,0,0,0,0
10174,O=C([O-])C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1.[Na+],C10H7N2NaO6S,306.2271 (283.2379+22.9892),24684,0,0,0,0,0,0,0,0,0,0,0,0
10175,O=S(=O)([O-])CCN1CCN(CCO)CC1.[Na+],C8H17N2NaO4S,260.2863 (237.2971+22.9892),24458,0,0,0,0,0,0,0,0,0,0,0,0
10176,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-].[NH4+].[NH4+],C6H14N2O7,226.1846 (190.1087+18.0379+18.0379),79,0,0,0,0,0,0,0,0,0,0,0,0
10177,O=S(=O)([O-])OOS(=O)(=O)[O-].[NH4+].[NH4+],H8N2O8S2,228.2021 (192.1263+18.0379+18.0379),9691,0,0,0,0,0,0,0,0,0,0,0,0
10178,NC(=O)[O-].[NH4+],CH6N2O2,78.0705 (60.0326+18.0379),7360,0,0,0,0,0,0,0,0,0,0,0,0
10179,[NH4+].[O-][Cl+3]([O-])([O-])[O-],H4ClNO4,117.4891 (99.4511+18.0379),4515,0,0,0,0,0,0,0,0,0,0,0,0
10180,[NH4+].[O-][Cl+3]([O-])([O-])[O-],H4ClNO4,117.4891 (99.4511+18.0379),4515,0,0,0,0,0,0,0,0,0,0,0,0
10181,NS(=O)(=O)[O-].[NH4+],H6N2O3S,114.1242 (96.0863+18.0379),3875,0,0,0,0,0,0,0,0,0,0,0,0
10182,N#C[S-].[NH4+],CH4N2S,76.1209 (58.0829+18.0379),9653,0,0,0,0,0,0,0,0,0,0,0,0
10183,CC(C)(CO)[N+](=O)[O-],C4H9NO3,119.1192,6436,0,0,0,0,0,0,0,1,0,0,0,0
10184,Nc1ccc(NCCO)c([N+](=O)[O-])c1,C8H11N3O3,197.1912,1236,0,0,1,0,0,1,1,0,0,0,0,0
10185,O=[N+]([O-])c1ccc2[nH]cnc2c1,C7H5N3O2,163.1335,965,0,0,0,0,0,0,1,0,0,0,0,0
10186,Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1,C10H8N4O4,248.1949,28752,0,0,0,0,0,0,0,0,0,0,0,0
10187,O=C1NC(=O)c2cc([N+](=O)[O-])ccc21,C8H4N2O4,192.1284,5776,0,0,1,0,0,0,0,0,0,0,0,0
10188,O=C1OC(=O)c2cc([N+](=O)[O-])ccc21,C8H3NO5,193.1131,5775,0,0,0,0,0,0,0,0,0,0,0,0
10189,O=[N+]([O-])c1ccc2ncccc2c1,C9H6N2O2,174.1561,984,0,0,0,0,0,0,1,0,0,0,0,0
10190,O=[N+]([O-])c1cccc2cccnc12,C9H6N2O2,174.1561,985,0,0,1,0,0,1,0,0,0,0,0,0
10191,O=[N+]([O-])c1ccccc1,C6H5NO2,123.1094,964,0,0,0,0,0,0,0,0,0,0,0,0
10192,CCC[N+](=O)[O-],C3H7NO2,89.0932,980,0,0,0,0,0,0,0,0,0,0,0,0
10193,CCC[N+](=O)[O-],C3H7NO2,89.0932,980,0,0,0,0,0,0,0,0,0,0,0,0
10194,CCCC[N+](=O)[O-],C4H9NO2,103.1198,967,0,0,0,0,0,0,0,0,0,0,0,0
10195,C[N+](=O)[O-],CH3NO2,61.0400,977,0,0,1,0,0,0,0,0,0,0,0,0
10196,C[NH+](C)CCC(c1ccccc1)c1cccc[nH+]1.O=C([O-])/C=C\C(=O)[O-],C20H24N2O4,356.4156 (242.3582+114.0574),5866,0,0,0,0,0,0,0,0,0,0,0,0
10197,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,C18H42O4P2,384.4712 (231.3771+153.0941),29100,0,0,0,0,0,0,0,0,0,0,0,0
10198,C[N+](C)(C)C.[OH-],C4H13NO,91.1521 (74.1442+17.0079),9108,0,0,0,0,0,0,0,1,0,0,0,0
10199,C[N+](C)(C)Cc1ccccc1.[OH-],C10H17NO,167.2481 (150.2402+17.0079),24332,0,0,0,0,0,0,0,0,0,0,0,0
10200,C[N+](C)(C)CCO.[OH-],C5H15NO2,121.1781 (104.1702+17.0079),27467,0,0,0,0,0,0,0,0,0,0,0,0
10201,[Cl-].[Cl-].[SnH2+2],Cl2Sn,189.6160 (118.7089+35.4535+35.4535),1351,0,0,0,0,0,0,0,0,0,0,0,0
10202,Br.CCCN1C=CN(C)C1,C7H15BrN2,207.1114 (126.1995+80.9119),29320,0,0,0,0,0,0,0,0,0,0,0,0
10203,Br.CCN1C=CN(C)C1C,C7H15BrN2,207.1114 (126.1995+80.9119),29340,0,0,0,0,0,0,0,0,0,0,0,0
10204,Br.CCCCN1C=CN(C)C1,C8H17BrN2,221.1380 (140.2260+80.9119),29321,0,0,0,0,0,0,0,0,0,0,0,0
10205,Br.CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,C17H22BrNO4,384.2649 (303.3529+80.9119),12029,0,0,0,0,0,0,0,0,0,0,0,0
10206,O=C(O)C(Br)(Br)Br,C2HBr3O2,296.7401,1668,0,0,1,0,0,0,0,0,0,0,0,0
10207,BrC(Br)Br,CHBr3,252.7306,1374,0,0,0,0,0,0,0,0,0,0,0,0
10208,O=C(O)C(Br)Br,C2H2Br2O2,217.8441,3815,0,0,1,0,0,0,0,0,0,0,0,0
10209,O=C(O)C(Br)Br,C2H2Br2O2,217.8441,3815,0,0,1,0,0,0,0,0,0,0,0,0
10210,CC(C)Br,C3H7Br,122.9917,10197,0,0,0,0,0,0,0,0,0,0,0,0
10211,CCC(C)Br,C4H9Br,137.0183,1499,0,0,0,0,0,0,0,0,0,0,0,0
10212,ClC(Cl)(Cl)Br,CBrCl3,198.2737,3930,0,0,0,0,0,0,0,0,0,0,0,0
10213,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,C6Br6,551.4882,4128,0,1,0,0,0,0,0,0,0,0,0,0
10214,Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,C12H2Br8O,801.3757,4236,0,0,0,0,0,0,0,0,0,0,0,0
10215,CC(C)(c1cc(Br)c(OCC(Br)CBr)c(Br)c1)c1cc(Br)c(OCC(Br)CBr)c(Br)c1,C21H20Br8O2,943.6143,12129,0,0,0,0,0,0,0,0,0,0,0,0
10216,Brc1ccc(Br)cc1,C6H4Br2,235.9040,4012,0,0,0,0,0,0,0,0,0,0,0,0
10217,Brc1ccc(-c2ccccc2)cc1,C12H9Br,233.1039,4640,0,0,0,0,0,0,0,0,0,0,0,0
10218,Brc1ccccc1,C6H5Br,157.0079,4637,0,0,0,0,0,0,0,0,0,0,0,0
10219,Brc1ccc(Oc2ccc(Br)cc2)cc1,C12H8Br2O,327.9993,4015,0,0,0,0,0,0,1,0,0,0,0,0
10220,Brc1ccc(Oc2ccccc2)cc1,C12H9BrO,249.1033,3927,0,0,0,0,0,0,0,0,0,0,0,0
10221,BrCBr,CH2Br2,173.8346,1557,0,0,0,0,0,0,0,0,0,0,0,0
10222,CCBr,C2H5Br,108.9651,199,0,0,0,0,0,0,0,0,0,0,0,0
10223,N#CCBr,C2H2BrN,119.9480,1496,0,0,0,0,0,0,0,0,0,0,0,0
10224,CCCBr,C3H7Br,122.9917,1874,0,0,0,0,0,0,0,0,0,0,0,0
10225,BrCCCBr,C3H6Br2,201.8877,1902,0,0,0,0,0,0,0,0,0,0,0,0
10226,BrCCCCBr,C4H8Br2,215.9143,24364,0,0,1,0,0,0,0,0,0,0,0,0
10227,CCCCCBr,C5H11Br,151.0448,28474,0,0,0,0,0,0,0,0,0,0,0,0
10228,BrCCCCCBr,C5H10Br2,229.9409,29354,0,0,0,0,0,0,0,0,0,0,0,0
10229,CCCCCCBr,C6H13Br,165.0714,1929,0,0,0,0,0,0,0,0,0,0,0,0
10230,CCCCCCCCBr,C8H17Br,193.1246,1938,0,0,0,0,0,0,0,0,0,0,0,0
10231,CCCCCCCCCCCCCCCCBr,C16H33Br,305.3372,29356,0,0,0,0,0,0,0,0,0,0,0,0
10232,ClCCBr,C2H4BrCl,143.4102,4775,0,0,0,0,0,0,0,0,0,0,0,0
10233,OCCCBr,C3H7BrO,138.9911,4657,0,0,0,0,0,0,0,0,0,0,0,0
10234,BrCCOc1ccccc1,C8H9BrO,201.0605,29278,0,0,0,0,0,0,0,0,0,0,0,0
10235,C#CC(O)C(CC)CCCC,C10H18O,154.2493,24697,0,0,0,0,0,0,0,0,0,0,0,0
10236,C#CC1(O)CCCCC1,C8H12O,124.1803,1757,0,0,0,0,0,0,0,0,0,0,0,0
10237,C#CCO,C3H4O,56.0633,1883,0,0,0,0,0,0,0,0,0,0,0,0
10238,c1ccc(CCc2ccccc2)cc1,C14H14,182.2610,21668,0,0,0,0,0,0,0,0,0,0,0,0
10239,c1ccc(COCc2ccccc2)cc1,C14H14O,198.2604,5819,0,0,0,0,0,0,0,0,0,0,0,0
10240,CC(C)=CC=O,C5H8O,84.1164,9606,0,0,0,0,0,0,0,0,0,0,0,0
10241,CC(=O)CCC=C(C)C,C8H14O,126.1962,1629,0,0,0,0,0,0,0,0,0,0,0,0
10242,CC(=O)CCC=C(C)C,C8H14O,126.1962,1629,0,0,0,0,0,0,0,0,0,0,0,0
10243,CC(C)=CCO,C5H10O,86.1323,7206,0,0,0,0,0,0,0,0,0,0,0,0
10244,CCC(C)=NO,C4H9NO,87.1204,1821,0,0,0,0,0,0,0,0,0,0,0,0
10245,CCC(C)=NO,C4H9NO,87.1204,1821,0,0,0,0,0,0,0,0,0,0,0,0
10246,CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2,C10H18O,154.2493,2035,0,0,0,0,0,0,0,0,0,0,0,0
10247,CC1(C)[C@H]2CC[C@](C)(C2)[C@H]1O,C10H18O,154.2493,24307,0,0,0,0,0,0,0,0,0,0,0,0
10248,C=C1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C,C15H24,204.3511,27045,0,0,0,0,0,0,0,0,0,0,0,0
10249,CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2,C10H18O,154.2493,22060,0,0,0,0,0,0,0,0,0,0,0,0
10250,C/C=C(\C)C=O,C5H8O,84.1164,29264,0,0,0,0,0,0,0,0,0,0,0,0
10251,CC(C)[C@]12CC(=O)[C@H](C)[C@H]1C2,C10H16O,152.2334,6148,0,0,0,0,0,0,0,0,0,0,0,0
10252,COP(=O)([O-])OC.Cn1cc[n+](C)c1,C7H15N2O4P,222.1788 (97.1378+125.0410),27946,0,0,0,0,0,0,0,0,0,0,0,0
10253,CCn1cc[n+](C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,C13H18N2O3S,282.3586 (171.1942+111.1644),29126,0,0,0,0,0,0,0,0,0,0,0,0
10254,CCn1cc[n+](C)c1.O=S(=O)([O-])O,C6H12N2O4S,208.2355 (111.1644+97.0711),29156,0,0,0,0,0,0,0,0,0,0,0,0
10255,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,C8H16N2O4S,236.2886 (111.1644+125.1242),29130,0,0,0,0,0,0,0,0,0,0,0,0
10256,CCn1cc[n+](C)c1.N#CN=C=[N-],C8H11N5,177.2064 (111.1644+66.0420),27940,0,0,0,0,0,0,0,0,0,0,0,0
10257,CCn1cc[n+](C)c1C.F[P-](F)(F)(F)(F)F,C7H13F6N2P,270.1557 (125.1910+144.9647),29120,0,0,0,0,0,0,0,0,0,0,0,0
10258,CCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F,C8H13F3N2O3S,274.2606 (125.1910+149.0697),29089,0,0,0,0,0,0,0,1,0,0,0,0
10259,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,C7H13F6N2P,270.1557 (125.1910+144.9647),29102,0,0,0,0,0,0,0,1,0,0,0,0
10260,C[Si](C)(C)Cl,C3H9ClSi,108.6421,4822,0,0,1,0,0,0,0,0,0,0,0,0
10261,C[Si](C)(C)N[Si](C)(C)C,C6H19NSi2,161.3928,5395,0,0,0,0,0,0,0,0,0,0,0,0
10262,C[Si](C)(C)O[Si](C)(C)C,C6H18OSi2,162.3775,6769,0,0,0,0,0,0,0,0,0,0,0,0
10263,C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,C7H22O2Si3,222.5049,18795,0,0,0,0,0,0,0,0,0,0,0,0
10264,C=C[Si](C)(C)O[Si](C)(C)C=C,C8H18OSi2,186.3989,18810,0,0,0,0,0,0,0,0,0,0,0,0
10265,CO[Si](C)(C)OC,C4H12O2Si,120.2224,22379,0,0,0,0,0,0,0,0,0,0,0,0
10266,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,C10H30O5Si5,370.7697,7184,0,0,0,0,0,0,0,0,0,0,0,0
10267,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,C6H18O3Si3,222.4618,7185,0,0,0,0,0,0,0,0,0,0,0,0
10268,C[Sn](Cl)(Cl)Cl,CH3Cl3Sn,240.1035,7346,0,0,0,0,0,0,0,0,0,0,0,0
10269,CNC(=O)ON=C(C)SC,C5H10N2O2S,162.2101,2267,0,0,0,0,0,0,0,0,0,0,0,0
10270,CC(C)=CC(=O)C=C(C)C,C9H14O,138.2069,1584,0,0,0,0,0,0,0,0,0,0,0,0
10271,CC(C)=CC(=O)O,C5H8O2,100.1158,27145,0,0,0,0,0,0,0,1,0,0,0,0
10272,CC(C)=CCC[C@H](C)CCO,C10H20O,156.2652,21550,0,0,0,0,0,0,0,0,0,0,0,0
10273,CC(=O)OC/C=C(/C)CCC=C(C)C,C12H20O2,196.2860,27068,0,0,0,0,0,0,0,0,0,0,0,0
10274,CC(C)=CCC/C(C)=C/CO,C10H18O,154.2493,6727,0,0,0,0,0,0,0,0,0,0,0,0
10275,C/C=C(\C)C(=O)OC/C=C(\C)CCC=C(C)C,C15H24O2,236.3499,27413,0,0,0,0,0,0,0,0,0,0,0,0
10276,CCCC(=O)OC/C=C(\C)CCC=C(C)C,C14H24O2,224.3392,27152,0,0,0,0,0,0,0,0,0,0,0,0
10277,CC(=O)OC/C=C(\C)CCC=C(C)C,C12H20O2,196.2860,654,0,0,0,0,0,0,0,0,0,0,0,0
10278,CC(C)=CCC/C(C)=C/COC=O,C11H18O2,182.2594,27614,0,0,0,0,0,0,0,0,0,0,0,0
10279,CC(C)=CCCC(C)CCO,C10H20O,156.2652,6726,0,0,0,0,0,0,0,0,0,0,0,0
10280,CC(C)=CCCC(C)CCO,C10H20O,156.2652,6726,0,0,0,0,0,0,0,0,0,0,0,0
10281,CC=C(C)C(=O)OCCC(C)CCC=C(C)C,C15H26O2,238.3657,27556,0,0,0,0,0,0,0,0,0,0,0,0
10282,C/C=C(\C)C(C)=O,C6H10O,98.1430,21490,0,0,0,0,0,0,0,0,0,0,0,0
10283,C/C=C/C=C/C(=O)O,C6H8O2,112.1265,1277,0,0,0,0,0,0,0,0,0,0,0,0
10284,C1=CC2C3C=CC(C3)C2C1,C10H12,132.2023,5023,0,0,0,0,0,0,0,0,0,0,0,0
10285,C=C(C)C(=O)O,C4H6O2,86.0892,5542,0,0,0,0,0,0,0,0,0,0,0,0
10286,C=C(C)C(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,C14H22O2,222.3233,7653,0,0,0,0,0,0,0,0,0,0,0,0
10287,C=C(C)C(=O)OC,C5H8O2,100.1158,844,0,0,0,0,0,0,0,0,0,0,0,0
10288,C=C(C)C(=O)OCC,C6H10O2,114.1424,5308,0,0,0,0,0,0,0,0,0,0,0,0
10289,C=C(C)C(=O)OCc1ccccc1,C11H12O2,176.2118,2193,0,0,0,0,0,0,0,0,0,0,0,0
10290,C=C(C)C(=O)OCCCCCCCCCCCC,C16H30O2,254.4082,7103,0,0,0,0,0,0,0,0,0,0,0,0
10291,C=C(C)C(=O)OCCCCCCCCCCOC(=O)C(=C)C,C18H30O4,310.4284,24972,0,0,0,0,0,0,0,0,0,0,0,0
10292,C=C(C)C(=O)OCCO,C6H10O3,130.1418,2128,0,0,0,0,0,0,0,0,0,0,0,0
10293,C=C(C)C(N)=O,C4H7NO,85.1045,9600,0,0,0,0,0,0,0,0,0,0,0,0
10294,C=C(C)C(N)=O,C4H7NO,85.1045,9600,0,0,0,0,0,0,0,0,0,0,0,0
10295,C=C(C)c1ccccc1,C9H10,118.1757,5661,0,0,0,0,0,0,0,0,0,0,0,0
10296,C=C(C)CC(C)(C)C,C8H16,112.2126,6765,0,0,0,0,0,0,0,0,0,0,0,0
10297,C=C(C)CC(C)(C)C,C8H16,112.2126,6765,0,0,0,0,0,0,0,0,0,0,0,0
10298,C=C(C)CNCC,C6H13N,99.1741,7798,0,0,0,0,0,0,0,0,0,0,0,0
10299,C=C(C)OC(C)=O,C5H8O2,100.1158,11492,0,0,0,0,0,0,0,0,0,0,0,0
10300,C=C(Cl)Cl,C2H2Cl2,96.9433,1438,0,0,0,0,0,0,0,0,0,0,0,0
10301,C=C[C@@H](C)CCC=C(C)C,C10H18,138.2499,27236,0,0,0,0,0,0,0,0,0,0,0,0
10302,C=C[Si](OC)(OC)OC,C5H12O3Si,148.2325,9240,0,0,0,0,0,0,0,0,0,0,0,0
10303,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,C15H24,204.3511,4739,0,0,0,0,0,0,0,0,0,0,0,0
10304,C=CC#N,C3H3N,53.0626,29,0,0,0,0,0,0,0,0,0,0,0,0
10305,C=CC#N,C3H3N,53.0626,29,0,0,0,0,0,0,0,0,0,0,0,0
10306,C=CC(=C)CCCC(C)(C)OC(C)=O,C12H20O2,196.2860,27416,0,0,0,0,0,0,0,0,0,0,0,0
10307,C=CC(=O)CCCCC,C8H14O,126.1962,27162,0,0,0,0,0,0,0,0,0,0,0,0
10308,C=CC(=O)NC(C)(C)CC(C)=O,C9H15NO2,169.2209,4916,0,0,0,0,0,0,0,0,0,0,0,0
10309,C=CC(=O)OC(C)(C)C,C7H12O2,128.1690,9652,0,0,0,0,0,0,0,0,0,0,0,0
10310,C=CC(=O)OCCCC,C7H12O2,128.1690,4676,0,0,0,0,0,0,0,0,0,0,0,0
10311,C=CC(C)CCC=C(C)C,C10H18,138.2499,9234,0,0,0,0,0,0,0,0,0,0,0,0
10312,C=CC(N)=O,C3H5NO,71.0779,27,0,0,0,0,0,0,0,0,0,0,0,0
10313,C=Cc1ccc(C=C)cc1,C10H10,130.1864,13863,0,0,0,0,0,0,0,0,0,0,0,0
10314,C=Cc1ccccc1C=C,C10H10,130.1864,5216,0,0,0,0,0,0,0,0,0,0,0,0
10315,C=CCc1ccc2c(c1)OCO2,C10H10O2,162.1852,1254,0,0,0,0,0,0,0,0,0,0,0,0
10316,C=CCc1ccc2c(c1)OCO2,C10H10O2,162.1852,1254,0,0,0,0,0,0,0,0,0,0,0,0
10317,C=CCCC#N,C5H7N,81.1158,7228,0,0,0,0,0,0,0,0,0,0,0,0
10318,C=CCCCCCCCCCCC,C13H26,182.3455,9235,0,0,0,0,0,0,0,0,0,0,0,0
10319,C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O,C12H15N3O3,249.2658,6175,0,0,0,0,0,0,0,0,0,0,0,0
10320,C=CCNCC=C,C6H11N,97.1582,4918,0,0,0,0,0,0,0,0,0,0,0,0
10321,C=CCNCC=C,C6H11N,97.1582,4918,0,0,0,0,0,0,0,0,0,0,0,0
10322,C=CCOc1nc(OCC=C)nc(OCC=C)n1,C12H15N3O3,249.2658,17754,0,0,0,0,0,1,0,0,0,0,0,0
10323,C=CCOCC(CC)(CO)COCC=C,C12H22O3,214.3013,24976,0,0,0,0,0,0,0,0,0,0,0,0
10324,C=COCC1CCC(COC=C)CC1,C12H20O2,196.2860,24604,0,0,0,0,0,0,0,0,0,0,0,0
10325,C=COCCCCO,C6H12O2,116.1583,24854,0,0,0,0,0,0,0,0,0,0,0,0
10326,C=COCCOCCOC=C,C8H14O3,158.1950,24985,0,0,0,0,0,0,0,0,0,0,0,0
10327,C1=CCC=C1,C5H6,66.1011,7191,0,0,0,0,0,0,0,0,0,0,0,0
10328,C1=C\CC/C=C\CC/1,C8H12,108.1809,6888,0,0,0,0,0,0,0,0,0,0,0,0
10329,C1=CCC(c2ccccc2)CC1,C12H14,158.2396,27176,0,0,0,0,0,0,0,0,0,0,0,0
10330,c1cc2c3c(cccc3c1)CC2,C12H10,154.2078,1774,0,0,0,0,0,0,0,0,0,0,0,0
10331,c1ccc2c(c1)Oc1ccccc1O2,C12H8O2,184.1907,410,0,0,0,0,0,0,0,0,0,0,0,0
10332,c1ccc2c(c1)Cc1ccccc1-2,C13H10,166.2185,4105,0,0,0,0,0,0,0,0,0,0,0,0
10333,c1ccc2ccccc2c1,C10H8,128.1705,913,0,0,0,0,0,0,0,0,0,0,0,0
10334,c1ccc2ccccc2c1,C10H8,128.1705,913,0,0,0,0,0,0,0,0,0,0,0,0
10335,c1ccc2ncccc2c1,C9H7N,129.1586,1798,0,0,0,0,0,0,0,0,0,0,0,0
10336,c1ccc2[nH]cnc2c1,C7H6N2,118.1359,4573,0,0,0,0,0,0,0,0,0,0,0,0
10337,c1ccc2[nH]cnc2c1,C7H6N2,118.1359,4573,0,0,0,0,0,0,0,0,0,0,0,0
10338,c1ccc2c(c1)oc1ccccc12,C12H8O,168.1913,1993,0,0,0,0,0,0,0,0,0,0,0,0
10339,c1ccc2scnc2c1,C7H5NS,135.1863,4586,0,0,0,0,0,0,0,0,0,0,0,0
10340,c1ccc(Cc2ccccc2)cc1,C13H12,168.2344,21891,0,0,0,0,0,0,0,0,0,0,0,0
10341,C1CCCNCCC1,C7H15N,113.2007,680,0,0,0,0,0,0,0,0,0,0,0,0
10342,c1ccncc1,C5H5N,79.0999,1924,0,0,0,0,0,0,0,0,0,0,0,0
10343,c1c[nH]cn1,C3H4N2,68.0773,9616,0,0,0,0,0,0,0,0,0,0,0,0
10344,C1COCCO1,C4H8O2,88.1051,533,0,0,0,0,0,0,0,0,0,0,0,0
10345,C1CS1,C2H4S,60.1182,29371,0,0,0,0,0,0,0,0,0,0,0,0
10346,c1cnc2c(n1)CCCC2,C8H10N2,134.1784,27678,0,0,0,0,0,0,0,0,0,0,0,0
10347,C1C[C@@H]2[C@@H]3CC[C@H](C3)[C@@H]2C1,C10H16,136.2340,9244,0,0,0,0,0,0,0,0,0,0,0,0
10348,c1coc(Cn2cccc2)c1,C9H9NO,147.1739,27663,0,0,0,0,0,0,0,0,0,0,0,0
10349,C1CCC2(CCCCO2)OC1,C9H16O2,156.2221,20735,0,0,0,0,0,0,0,0,0,0,0,0
10350,CC#N,C2H3N,41.0519,9,0,0,0,0,0,0,0,0,0,0,0,0
10351,C=C(C)[C@@H]1CC[C@@H](C)C[C@@H]1O,C10H18O,154.2493,27116,0,0,0,0,0,0,0,0,0,0,0,0
10352,C=C(C)C(=O)OCC(C)O,C7H12O3,144.1684,5934,0,0,0,0,0,0,0,0,0,0,0,0
10353,C=C(C)C(=O)OCC1CO1,C7H10O3,142.1525,5361,0,0,0,0,0,0,0,0,0,0,0,0
10354,C=C(C)C1CC=C(C)C(O)C1,C10H16O,152.2334,4736,0,0,0,0,0,0,0,0,0,0,0,0
10355,C=C(C)CCC[C@H](C)CCO,C10H20O,156.2652,27193,0,0,0,0,0,0,0,0,0,0,0,0
10356,CC(=O)C(=O)CC(C)C,C7H12O2,128.1690,29071,0,0,0,0,0,0,0,1,0,0,0,0
10357,CCCC(=O)C(C)=O,C6H10O2,114.1424,27066,0,0,0,0,0,0,0,0,0,0,0,0
10358,CC(=O)C(C)=O,C4H6O2,86.0892,1583,0,0,0,0,0,0,0,0,0,0,0,0
10359,CC(=O)C(C)O,C4H8O2,88.1051,4399,0,0,0,0,0,0,0,0,0,0,0,0
10360,CC(=O)c1ccccn1,C7H7NO,121.1366,4409,0,0,0,0,0,0,0,0,0,0,0,0
10361,CC(=O)c1ccccn1,C7H7NO,121.1366,4409,0,0,0,0,0,0,0,0,0,0,0,0
10362,CC(=O)c1cnccn1,C6H6N2O,122.1246,27085,0,0,0,0,0,0,0,0,0,0,0,0
10363,CC(=O)c1nccs1,C5H5NOS,127.1643,10162,0,0,0,0,0,1,0,0,0,0,0,0
10364,CC(=O)c1nccs1,C5H5NOS,127.1643,10162,0,0,0,0,0,0,0,1,0,0,0,0
10365,CC(=O)C1(C)CC2=C(CCCC2(C)C)CC1C,C16H26O,234.3770,11290,0,0,0,0,0,0,1,0,0,0,0,0
10366,CCC(C)=O,C4H8O,72.1057,1516,0,0,0,0,0,0,0,0,0,0,0,0
10367,COC(=O)CC(C)=O,C5H8O3,116.1152,6716,0,0,0,0,0,0,0,0,0,0,0,0
10368,CC(=O)CC(C)(C)C1CCCCC1,C12H22O,182.3025,27682,0,0,0,0,0,0,0,0,0,0,0,0
10369,CC(=O)CC(C)(C)O,C6H12O2,116.1583,4917,0,0,0,0,0,0,0,0,0,0,0,0
10370,COC(C)(C)CC(C)=O,C7H14O2,130.1849,5557,0,0,0,0,0,0,0,0,0,0,0,0
10371,CC(=O)CC(C)=O,C5H8O2,100.1158,1979,0,0,0,0,0,0,0,0,0,0,0,0
